SessionId,cache,isResponseOK,isRequestAsync,accountName,clientdate,MacId,Url,DataType,isResponse,isResponseRedirected,urlFull,statusCode,mode,method,urlPath,eventType,Ref,workspace,function,responseType
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802598324e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,true,false,https://st.dynamicyield.com/spa/json?sec=8790444&id=6106881345550205886&ref=https%3A%2F%2Fwww.cea.com.br%2F&jsession=i98ulmneih3gbkxhcoh4t59avnkl77cl&isSesNew=false&ctx=%7B%22type%22%3A%22PRODUCT%22%2C%22data%22%3A%5B%226340432%22%5D%2C%22branchId%22%3A%22606%22%7D,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,cors
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.727802598345e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://async-px.dynamicyield.com/uia?cnst=1&_=1727802594539,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,XMLHttpRequest,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802598357e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,true,false,https://www.cea.com.br/_v/segment/graphql/v1?workspace=master&maxAge=short&appsEtag=remove&domain=store&locale=pt-BR&__bindingId=8693a606-04bd-4b7c-a06b-433242bd9ced&operationName=RecsForPlacements&variables=%7B%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%22ce290919baa90b4313827cc8a68a964bf32a95d222baed1d35906ae970660d6d%22%2C%22sender%22%3A%22cea.cea-store-theme%400.x%22%2C%22provider%22%3A%22cea.search-graphql%400.x%22%7D%2C%22variables%22%3A%22eyJoaWRlVW5hdmFpbGFibGVJdGVtcyI6ZmFsc2UsInNrdXNGaWx0ZXIiOiJBTExfQVZBSUxBQkxFIiwiY29sbGVjdGlvbiI6Iml0ZW1fcGFnZS5jb21wcmVfanVudG98aXRlbV9wYWdlLmNsaWVudGVzX21haXNfY29tcHJhbXxpdGVtX3BhZ2UubWFpc192aXN0b3N8aXRlbV9wYWdlLmhpc3Rvcmljb05hdmVnYWNhb3xpdGVtX3BhZ2UucmVsYWNpb25hZG9zIiwibG9nIjoidHJ1ZSIsInByb2R1Y3RJZCI6IjQ0OTQ4MTEiLCJyY3MiOiIiLCJzZXNzaW9uSWQiOiIiLCJ1c2VySWQiOiIifQ%3D%3D%22%7D,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,basic
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.72780259836e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://async-px.dynamicyield.com/batch?cnst=1&_=1727802594643_362400,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,sendBeacon,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.727802598367e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,true,,https://async-px.dynamicyield.com/uia?cnst=1&_=1727802594539,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,XMLHttpRequest,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802598378e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,true,false,https://www.cea.com.br/_v/private/graphql/v1?workspace=master&maxAge=medium&appsEtag=remove&domain=store&locale=pt-BR&__bindingId=8693a606-04bd-4b7c-a06b-433242bd9ced,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,basic
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.72780259839e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://syteapi.com/et?tags=ecommerce&account_id=10542&sig=6523fe1dd916c3f5354ca894&syte_url_referer=https%3A%2F%2Fwww.cea.com.br%2Fofertas%2Fofertas-por-24-horas&session_id=10879073&syte_uuid=67976e80-558a-11ef-822f-99bdb68791ab&name=fe_page_view,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.727802598413e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://rc.vtex.com/v8,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,XMLHttpRequest,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,no-store,,,cea,1.727802598423e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://analytics.google.com/g/collect?v=2&tid=G-J2C4CH9FXY&gtm=45je49u0v872032175za200zb830842906&_p=1727802553904&gcs=G111&gcd=13v3v3n3n5l1&npa=0&dma=0&tag_exp=101671035~101686685~101747727&cid=1198259706.1723123837&ul=pt-pt&sr=1920x1080&ir=1&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B129.0.6668.58%7CNot%253DA%253FBrand%3B8.0.0.0%7CChromium%3B129.0.6668.58&uamb=0&uam=&uap=Linux&uapv=6.10.10&uaw=0&are=1&pae=1&frm=0&pscdl=&_eu=EEA&_s=4&dl=https%3A%2F%2Fwww.cea.com.br%2Fmaio-infantil-manga-longa-uv-50--basiquinho-pink-4494811%2Fp&dr=https%3A%2F%2Fwww.cea.com.br%2Fofertas%2Fofertas-por-24-horas&sid=1727798399&sct=11&seg=1&dt=Ofertas%20por%2024%20horas%3A%20Roupas%2C%20Cal%C3%A7ados%20e%20Acess%C3%B3rios%20%7C%20C%26A&en=page_view&ep.cea_id=&ep.dyid=6106881345550205886&tfd=41723,,no-cors,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.727802598428e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,Event,false,,https://us.creativecdn.com/tags/v2?type=json,,cors,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
